Topics,Alpha,Beta,Coherence
8,asymmetric,0.91,0.4745075345592004
6,0.01,0.91,0.4258829240804432
6,symmetric,0.91,0.42449598344150935
6,0.31,0.91,0.42297721556589796
7,0.31,0.31,0.4130050694780148
5,symmetric,0.91,0.4115996000559864
8,asymmetric,0.31,0.41159568127179275
8,0.61,0.61,0.4098928585161318
8,0.31,0.61,0.4071157259577698
5,0.31,0.91,0.40688052267354474
4,0.01,0.91,0.4068656105257198
8,symmetric,0.61,0.4050696941983718
7,0.01,0.31,0.4036624382909129
6,asymmetric,0.91,0.4032305646113732
8,0.01,0.61,0.4031111391694012
8,0.31,0.31,0.40307861469200895
6,0.91,0.91,0.4030710068925752
7,0.91,0.61,0.4027527280716873
6,0.61,0.91,0.4018790851287483
7,symmetric,0.31,0.4013632402805185
6,0.61,0.61,0.40073692182115955
4,0.31,0.91,0.4001166783311047
4,symmetric,0.91,0.4001166783311047
7,0.31,0.61,0.3993919029417178
7,asymmetric,0.31,0.3985979178888961
6,0.01,0.61,0.39697421271112016
6,symmetric,0.61,0.39609598834177073
5,asymmetric,0.61,0.3952675757554159
7,symmetric,0.61,0.39523083414245297
7,symmetric,symmetric,0.3950842944026709
7,0.01,symmetric,0.39499274557287034
8,0.91,0.31,0.394244811799759
6,0.31,0.61,0.3935286871396006
6,asymmetric,0.61,0.3934508816654909
8,0.91,0.61,0.3929623877478404
6,0.01,0.31,0.39271072400750295
6,0.31,0.31,0.392048208563095
7,0.31,symmetric,0.39193617068874215
7,0.01,0.61,0.39189272005664183
6,0.91,0.61,0.3911379320676744
7,0.91,symmetric,0.391048529854266
7,0.61,0.31,0.39102970412720034
8,0.61,0.01,0.38987836755028116
6,symmetric,0.01,0.38979193784377114
6,0.61,0.31,0.3897199930519473
8,0.61,0.31,0.38909051307819237
4,0.61,0.91,0.3890568093189156
4,0.91,0.61,0.3883915578432303
4,0.61,0.61,0.3883691769374765
4,0.91,0.91,0.38807321826228347
6,0.61,0.01,0.38778452722456097
6,0.01,symmetric,0.38683815386141696
7,0.91,0.91,0.3867564548099555
7,0.61,0.61,0.3865106846873057
5,0.01,0.91,0.3858021590143015
6,symmetric,0.31,0.3856543516397881
4,symmetric,0.61,0.3853846123344229
8,0.31,0.91,0.3852028508164072
5,0.61,symmetric,0.38470013223894867
6,0.91,symmetric,0.38446225788068866
4,asymmetric,0.01,0.38439916333219626
8,0.01,0.31,0.38367062807935803
8,0.91,symmetric,0.38325171523158585
8,0.61,symmetric,0.38319159189490143
4,0.31,0.61,0.38304765886014736
8,0.91,0.01,0.3829451606170702
5,0.61,0.91,0.38261268498537343
7,0.01,0.91,0.3825515692263642
6,0.91,0.31,0.3824239245252779
5,0.61,0.31,0.38228200361273346
7,asymmetric,0.01,0.3820854136034028
7,0.61,symmetric,0.38196399310994206
6,0.31,0.01,0.3818314345808675
6,symmetric,symmetric,0.381607275314809
6,0.01,0.01,0.38152409910576224
4,0.61,0.31,0.38083436021429706
4,0.61,symmetric,0.380834360214297
5,0.31,symmetric,0.3804127839814604
4,0.01,0.31,0.3803972886775779
4,symmetric,0.01,0.38038280930928836
4,0.31,0.01,0.38038280930928836
8,symmetric,0.31,0.38031421131261584
4,0.01,0.61,0.37973421997499834
7,asymmetric,0.91,0.37943941840001044
5,0.91,0.61,0.3794201549131846
6,asymmetric,0.31,0.37928595368584944
